DEPT,NPHI_ED,CALI,PHIE:1,NEUT,SP:1,SWE,RES,RHOB:1,VSH,PHIE:2,GR,SP:2,RHOB:2,Well
6169.0,0.294,14.1,0.089,62.6,34.13,1.0,1.48,2.376,0.919571,0.089,64.37,34.13,2.376,Project_well_logs/TMG-1-logs
6170.0,0.299,13.95,0.086,52.3,34.19,1.0,1.48,2.384,0.913857,0.086,63.97,34.19,2.384,Project_well_logs/TMG-1-logs
6171.0,0.301,13.99,0.083,47.6,34.54,1.0,1.49,2.393,0.904571,0.083,63.32,34.54,2.393,Project_well_logs/TMG-1-logs
6172.0,0.3,14.28,0.091,48.8,35.09,1.0,1.49,2.381,0.902857,0.091,63.2,35.09,2.381,Project_well_logs/TMG-1-logs
6173.0,0.297,14.35,0.087,55.1,35.54,1.0,1.49,2.375,0.930428,0.087,65.13,35.54,2.375,Project_well_logs/TMG-1-logs
6174.0,0.298,14.4,0.08,54.4,35.92,1.0,1.49,2.38,0.942857,0.08,66.0,35.92,2.38,Project_well_logs/TMG-1-logs
6175.0,0.304,14.51,0.081,41.3,35.88,1.0,1.49,2.377,0.945571,0.081,66.19,35.88,2.377,Project_well_logs/TMG-1-logs
6176.0,0.306,14.5,0.08,37.6,35.85,1.0,1.49,2.38,0.940857,0.08,65.86,35.85,2.38,Project_well_logs/TMG-1-logs
6177.0,0.307,14.44,0.075,34.3,35.67,1.0,1.5,2.393,0.932714,0.075,65.29,35.67,2.393,Project_well_logs/TMG-1-logs
6178.0,0.303,14.32,0.079,43.2,35.53,1.0,1.52,2.389,0.928,0.079,64.96,35.53,2.389,Project_well_logs/TMG-1-logs
6179.0,0.298,14.33,0.071,53.8,35.49,1.0,1.56,2.4,0.930428,0.071,65.13,35.49,2.4,Project_well_logs/TMG-1-logs
6180.0,0.294,14.46,0.062,62.5,35.41,1.0,1.58,2.403,0.956,0.062,66.92,35.41,2.403,Project_well_logs/TMG-1-logs
6181.0,0.293,14.51,0.059,65.6,35.41,1.0,1.62,2.393,0.980286,0.059,68.62,35.41,2.393,Project_well_logs/TMG-1-logs
6182.0,0.294,14.52,0.051,61.4,35.59,1.0,1.66,2.394,0.999714,0.051,69.98,35.59,2.394,Project_well_logs/TMG-1-logs
6183.0,0.292,14.62,0.046,68.1,35.97,1.0,1.73,2.396,1.0,0.046,70.65,35.97,2.396,Project_well_logs/TMG-1-logs
6184.0,0.288,14.68,0.067,76.5,36.48,1.0,1.82,2.39,0.964143,0.067,67.49,36.48,2.39,Project_well_logs/TMG-1-logs
6185.0,0.283,14.66,0.075,86.0,36.84,1.0,1.92,2.391,0.936857,0.075,65.58,36.84,2.391,Project_well_logs/TMG-1-logs
6186.0,0.279,14.58,0.059,96.4,37.22,1.0,2.0,2.41,0.951143,0.059,66.58,37.22,2.41,Project_well_logs/TMG-1-logs
6187.0,0.275,14.6,0.049,5.4,37.54,1.0,2.07,2.411,0.978571,0.049,68.5,37.54,2.411,Project_well_logs/TMG-1-logs
6188.0,0.276,14.57,0.042,3.5,37.88,1.0,2.13,2.416,0.989714,0.042,69.28,37.88,2.416,Project_well_logs/TMG-1-logs
6189.0,0.279,14.42,0.053,95.6,38.27,1.0,2.17,2.394,0.995571,0.053,69.69,38.27,2.394,Project_well_logs/TMG-1-logs
6190.0,0.285,14.28,0.089,83.9,38.78,1.0,2.2,2.345,0.979857,0.089,68.59,38.78,2.345,Project_well_logs/TMG-1-logs
6191.0,0.294,14.33,0.094,63.4,38.91,1.0,2.18,2.362,0.931857,0.094,65.23,38.91,2.362,Project_well_logs/TMG-1-logs
6192.0,0.296,14.2,0.108,58.1,38.87,1.0,2.1,2.37,0.862857,0.108,60.4,38.87,2.37,Project_well_logs/TMG-1-logs
6193.0,0.291,14.23,0.124,68.8,38.92,1.0,2.03,2.357,0.827714,0.124,57.94,38.92,2.357,Project_well_logs/TMG-1-logs
6194.0,0.286,14.56,0.097,79.6,39.02,1.0,1.99,2.414,0.789857,0.097,55.29,39.02,2.414,Project_well_logs/TMG-1-logs
6195.0,0.282,14.57,0.093,88.6,39.3,1.0,2.0,2.425,0.775857,0.093,54.31,39.3,2.425,Project_well_logs/TMG-1-logs
6196.0,0.282,14.34,0.091,89.1,39.76,1.0,2.11,2.409,0.834714,0.091,58.43,39.76,2.409,Project_well_logs/TMG-1-logs
6197.0,0.282,14.41,0.082,89.0,39.99,1.0,2.24,2.419,0.846,0.082,59.22,39.99,2.419,Project_well_logs/TMG-1-logs
6198.0,0.28,14.59,0.087,94.1,40.07,1.0,2.35,2.41,0.848,0.087,59.36,40.07,2.41,Project_well_logs/TMG-1-logs
6199.0,0.277,14.73,0.106,1.7,39.22,1.0,2.47,2.383,0.838,0.106,58.66,39.22,2.383,Project_well_logs/TMG-1-logs
6200.0,0.272,14.76,0.084,12.1,38.55,1.0,2.41,2.408,0.864857,0.084,60.54,38.55,2.408,Project_well_logs/TMG-1-logs
6201.0,0.272,14.56,0.062,12.9,38.31,1.0,2.26,2.435,0.888143,0.062,62.17,38.31,2.435,Project_well_logs/TMG-1-logs
6202.0,0.276,14.56,0.061,3.4,38.82,1.0,2.21,2.423,0.919571,0.061,64.37,38.82,2.423,Project_well_logs/TMG-1-logs
6203.0,0.279,14.95,0.064,95.8,39.55,1.0,2.21,2.4,0.953714,0.064,66.76,39.55,2.4,Project_well_logs/TMG-1-logs
6204.0,0.287,15.26,0.049,79.3,39.71,1.0,2.35,2.427,0.948286,0.049,66.38,39.71,2.427,Project_well_logs/TMG-1-logs
6205.0,0.29,15.14,0.048,71.8,39.15,1.0,2.37,2.45,0.906143,0.048,63.43,39.15,2.45,Project_well_logs/TMG-1-logs
6206.0,0.29,15.37,0.059,70.6,38.18,1.0,2.36,2.415,0.941428,0.059,65.9,38.18,2.415,Project_well_logs/TMG-1-logs
6207.0,0.289,15.47,0.079,73.6,37.52,1.0,2.33,2.382,0.941286,0.079,65.89,37.52,2.382,Project_well_logs/TMG-1-logs
6208.0,0.288,15.45,0.09,76.3,36.84,1.0,2.3,2.368,0.932714,0.09,65.29,36.84,2.368,Project_well_logs/TMG-1-logs
6209.0,0.288,15.49,0.068,76.5,36.36,1.0,2.26,2.389,0.962,0.068,67.34,36.36,2.389,Project_well_logs/TMG-1-logs
6210.0,0.293,15.49,0.06,64.5,36.46,1.0,2.21,2.39,0.983571,0.06,68.85,36.46,2.39,Project_well_logs/TMG-1-logs
6211.0,0.292,15.48,0.057,67.4,36.65,1.0,2.13,2.385,0.998143,0.057,69.87,36.65,2.385,Project_well_logs/TMG-1-logs
6212.0,0.289,15.42,0.066,73.1,36.73,1.0,2.06,2.373,0.994429,0.066,69.61,36.73,2.373,Project_well_logs/TMG-1-logs
6213.0,0.29,15.45,0.07,71.5,36.73,1.0,1.99,2.395,0.945286,0.07,66.17,36.73,2.395,Project_well_logs/TMG-1-logs
6214.0,0.298,15.85,0.075,53.9,36.6,1.0,1.94,2.383,0.951428,0.075,66.6,36.6,2.383,Project_well_logs/TMG-1-logs
6215.0,0.301,15.97,0.077,47.1,36.27,1.0,1.88,2.383,0.944857,0.077,66.14,36.27,2.383,Project_well_logs/TMG-1-logs
6216.0,0.302,15.99,0.103,44.7,35.92,1.0,1.82,2.371,0.881,0.103,61.67,35.92,2.371,Project_well_logs/TMG-1-logs
6217.0,0.301,16.02,0.11,47.3,35.41,1.0,1.78,2.364,0.867857,0.11,60.75,35.41,2.364,Project_well_logs/TMG-1-logs
6218.0,0.299,16.06,0.104,51.8,34.72,1.0,1.72,2.377,0.861143,0.104,60.28,34.72,2.377,Project_well_logs/TMG-1-logs
6219.0,0.295,16.06,0.095,59.7,34.17,1.0,1.68,2.393,0.858571,0.095,60.1,34.17,2.393,Project_well_logs/TMG-1-logs
6220.0,0.294,16.0,0.104,63.3,33.95,1.0,1.63,2.376,0.863,0.104,60.41,33.95,2.376,Project_well_logs/TMG-1-logs
6221.0,0.294,15.9,0.1,63.3,34.18,1.0,1.59,2.375,0.883857,0.1,61.87,34.18,2.375,Project_well_logs/TMG-1-logs
6222.0,0.296,16.05,0.101,59.2,34.99,1.0,1.56,2.364,0.902857,0.101,63.2,34.99,2.364,Project_well_logs/TMG-1-logs
6223.0,0.301,16.05,0.117,46.8,35.92,1.0,1.53,2.335,0.910429,0.117,63.73,35.92,2.335,Project_well_logs/TMG-1-logs
6224.0,0.304,15.93,0.117,40.6,35.93,1.0,1.5,2.336,0.905571,0.117,63.39,35.93,2.336,Project_well_logs/TMG-1-logs
6225.0,0.305,15.85,0.093,37.9,35.83,1.0,1.47,2.369,0.922286,0.093,64.56,35.83,2.369,Project_well_logs/TMG-1-logs
6226.0,0.305,15.83,0.082,39.7,35.27,1.0,1.45,2.377,0.940571,0.082,65.84,35.27,2.377,Project_well_logs/TMG-1-logs
6227.0,0.302,15.95,0.108,46.0,34.54,1.0,1.42,2.355,0.897143,0.108,62.8,34.54,2.355,Project_well_logs/TMG-1-logs
6228.0,0.297,16.23,0.117,55.3,34.11,1.0,1.4,2.344,0.887571,0.117,62.13,34.11,2.344,Project_well_logs/TMG-1-logs
6229.0,0.298,16.47,0.104,53.8,33.86,1.0,1.38,2.359,0.905286,0.104,63.37,33.86,2.359,Project_well_logs/TMG-1-logs
6230.0,0.304,16.44,0.097,41.3,33.98,1.0,1.37,2.37,0.905429,0.097,63.38,33.98,2.37,Project_well_logs/TMG-1-logs
6231.0,0.308,16.07,0.096,31.6,34.19,1.0,1.36,2.379,0.889571,0.096,62.27,34.19,2.379,Project_well_logs/TMG-1-logs
6232.0,0.308,16.15,0.098,31.5,34.44,1.0,1.36,2.38,0.876286,0.098,61.34,34.44,2.38,Project_well_logs/TMG-1-logs
6233.0,0.303,16.75,0.109,43.7,34.26,1.0,1.36,2.361,0.878714,0.109,61.51,34.26,2.361,Project_well_logs/TMG-1-logs
6234.0,0.298,17.04,0.107,53.0,33.78,1.0,1.36,2.36,0.889,0.107,62.23,33.78,2.36,Project_well_logs/TMG-1-logs
6235.0,0.296,17.02,0.12,58.9,33.58,1.0,1.36,2.331,0.905429,0.12,63.38,33.58,2.331,Project_well_logs/TMG-1-logs
6236.0,0.297,16.83,0.125,55.0,34.2,1.0,1.36,2.311,0.931286,0.125,65.19,34.2,2.311,Project_well_logs/TMG-1-logs
6237.0,0.301,16.53,0.119,46.8,34.31,1.0,1.37,2.295,0.980143,0.119,68.61,34.31,2.295,Project_well_logs/TMG-1-logs
6238.0,0.301,16.34,0.082,47.2,34.13,1.0,1.37,2.333,1.0,0.082,71.01,34.13,2.333,Project_well_logs/TMG-1-logs
6239.0,0.296,16.26,0.061,59.1,33.8,1.0,1.38,2.359,1.0,0.061,71.94,33.8,2.359,Project_well_logs/TMG-1-logs
6240.0,0.295,16.36,0.069,60.3,33.72,1.0,1.39,2.362,1.0,0.069,70.32,33.72,2.362,Project_well_logs/TMG-1-logs
6241.0,0.313,16.5,0.082,21.2,33.76,1.0,1.4,2.343,0.999571,0.082,69.97,33.76,2.343,Project_well_logs/TMG-1-logs
6242.0,0.311,16.56,0.086,25.8,33.76,1.0,1.4,2.328,1.0,0.086,70.89,33.76,2.328,Project_well_logs/TMG-1-logs
6243.0,0.308,16.55,0.085,32.2,33.91,1.0,1.4,2.337,1.0,0.085,70.15,33.91,2.337,Project_well_logs/TMG-1-logs
