DEPT,NPHI_ED,CALI,PHIE:1,NEUT,SP:1,SWE,RES,RHOB:1,VSH,PHIE:2,GR,SP:2,RHOB:2,WELL
8949.0,0.288,0.0,0.613,76.4,54.39,1.0,1.52,0.0,0.859294,0.613,73.04,54.39,0.0,TMG-1-logs.las
8950.0,0.285,0.0,0.59,81.5,54.32,1.0,1.6,0.0,0.895882,0.59,76.15,54.32,0.0,TMG-1-logs.las
8951.0,0.282,0.0,0.584,88.4,54.28,1.0,1.68,0.0,0.903059,0.584,76.76,54.28,0.0,TMG-1-logs.las
8952.0,0.277,0.0,0.613,1.0,54.2,1.0,1.77,0.0,0.856,0.613,72.76,54.2,0.0,TMG-1-logs.las
8953.0,0.275,0.0,0.625,5.9,54.14,1.0,1.88,0.0,0.832471,0.625,70.76,54.14,0.0,TMG-1-logs.las
8954.0,0.276,0.0,0.628,3.0,54.13,1.0,1.98,0.0,0.827059,0.628,70.3,54.13,0.0,TMG-1-logs.las
8955.0,0.279,0.0,0.625,97.0,54.13,1.0,2.02,0.0,0.834588,0.625,70.94,54.13,0.0,TMG-1-logs.las
8956.0,0.278,0.0,0.617,99.3,54.13,1.0,2.0,0.0,0.848941,0.617,72.16,54.13,0.0,TMG-1-logs.las
8957.0,0.275,0.0,0.608,5.3,54.17,1.0,1.89,0.0,0.864,0.608,73.44,54.17,0.0,TMG-1-logs.las
8958.0,0.273,0.0,0.598,9.5,54.27,1.0,1.81,0.0,0.880353,0.598,74.83,54.27,0.0,TMG-1-logs.las
8959.0,0.274,0.0,0.588,7.7,54.37,1.0,1.74,0.0,0.895294,0.588,76.1,54.37,0.0,TMG-1-logs.las
8960.0,0.28,0.0,0.582,95.1,54.56,1.0,1.69,0.0,0.904706,0.582,76.9,54.56,0.0,TMG-1-logs.las
